               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10588,             0.13741,            0.065521,             0.35015,             0.17654,            0.046753,            0.012402,            0.082796,             0.16717,            0.057467,           0.0032922,           0.0032922,             0.07037
                   1,            0.084502,             0.13109,            0.054136,             0.78178,            0.068973,            0.080384,            0.027019,             0.08102,            0.088352,            0.048546,           0.0066253,           0.0066253,             0.04037
                   2,            0.079171,             0.13434,            0.047469,             0.62776,            0.071212,             0.10963,            0.034522,            0.075888,             0.16669,            0.044202,           0.0099582,           0.0099582,             0.01037
                   3,            0.070234,             0.13085,            0.042723,             0.44716,             0.20884,             0.11559,            0.030638,            0.072975,             0.10804,            0.042644,            0.009999,            0.009999,            0.009999
                   4,            0.060988,              0.1167,            0.038049,             0.37508,             0.42416,             0.21956,            0.084484,            0.054765,             0.11616,            0.033219,            0.009999,            0.009999,            0.009999
                   5,             0.05636,             0.11845,            0.034002,             0.58168,             0.44073,             0.30157,             0.18376,            0.043651,             0.10078,            0.029294,           0.0099987,           0.0099987,           0.0099987
                   6,            0.051681,             0.10871,            0.030559,             0.59634,             0.42927,             0.31062,             0.17318,            0.042956,            0.099497,            0.026624,           0.0099984,           0.0099984,           0.0099984
                   7,            0.049702,             0.10456,            0.027684,             0.53849,              0.4868,             0.34088,             0.18115,            0.041935,             0.10652,            0.023398,            0.009998,            0.009998,            0.009998
                   8,             0.04749,             0.10322,            0.025018,             0.51182,             0.50195,             0.34204,             0.17593,            0.043146,             0.10214,             0.02354,           0.0099977,           0.0099977,           0.0099977
                   9,            0.048066,             0.09937,            0.024018,             0.62992,             0.41567,             0.36823,             0.23844,            0.036761,            0.099065,             0.02148,           0.0099974,           0.0099974,           0.0099974
                  10,            0.046819,            0.099533,            0.022558,             0.52912,              0.5366,             0.31003,              0.2022,            0.037617,            0.095447,            0.019678,            0.009997,            0.009997,            0.009997
                  11,            0.044451,            0.095644,            0.020813,             0.52015,             0.53023,             0.32642,             0.21813,            0.037627,             0.10542,            0.021645,           0.0099967,           0.0099967,           0.0099967
                  12,            0.044117,            0.095188,            0.019497,             0.63881,             0.46645,             0.37483,              0.2386,            0.036963,             0.10587,             0.01905,           0.0099964,           0.0099964,           0.0099964
                  13,            0.043326,            0.094067,            0.018691,             0.55953,              0.4551,             0.41307,             0.26963,            0.034501,             0.10777,            0.018886,            0.009996,            0.009996,            0.009996
                  14,            0.041904,            0.089932,            0.017859,             0.45612,             0.60878,             0.48531,             0.25695,            0.037165,             0.10505,             0.01583,           0.0099957,           0.0099957,           0.0099957
                  15,            0.040686,            0.090348,            0.017192,             0.45087,              0.7072,             0.49175,             0.31846,             0.03511,             0.10156,            0.016112,           0.0099954,           0.0099954,           0.0099954
                  16,            0.040801,            0.088138,            0.016239,             0.45636,             0.62265,             0.47943,             0.31431,             0.03505,             0.10631,            0.016922,           0.0099951,           0.0099951,           0.0099951
                  17,            0.041444,            0.086881,             0.01576,             0.43608,             0.68255,             0.44511,             0.29017,            0.032743,             0.10509,            0.016448,           0.0099947,           0.0099947,           0.0099947
                  18,            0.039346,            0.086602,            0.014806,             0.46487,              0.6901,             0.55797,             0.40481,            0.035401,              0.1037,            0.015709,           0.0099944,           0.0099944,           0.0099944
                  19,            0.040295,            0.087322,            0.014308,             0.47572,             0.68483,             0.45547,             0.29395,            0.034203,               0.104,            0.015293,           0.0099941,           0.0099941,           0.0099941
                  20,            0.039586,            0.086127,            0.014049,             0.45195,             0.69822,              0.4596,             0.33182,            0.034324,             0.10468,            0.014506,           0.0099937,           0.0099937,           0.0099937
                  21,            0.039578,            0.085604,            0.013363,             0.56488,             0.55895,             0.44023,             0.29253,            0.031833,             0.11763,            0.014516,           0.0099934,           0.0099934,           0.0099934
                  22,            0.038613,            0.084182,            0.012669,             0.43404,             0.66073,             0.57596,              0.3911,            0.033774,             0.10504,            0.013127,           0.0099931,           0.0099931,           0.0099931
                  23,            0.037012,            0.082948,            0.012193,             0.34446,             0.89854,             0.59798,             0.43498,            0.031675,             0.11054,            0.012077,           0.0099927,           0.0099927,           0.0099927
                  24,            0.037577,            0.083506,            0.011553,             0.54846,             0.59134,             0.48963,              0.3376,            0.033788,             0.11501,            0.012378,           0.0099924,           0.0099924,           0.0099924
                  25,             0.03861,            0.082631,            0.011834,             0.37748,             0.87429,             0.59525,             0.42394,            0.029885,              0.1126,            0.012139,           0.0099921,           0.0099921,           0.0099921
                  26,            0.037416,              0.0828,            0.011476,             0.49193,             0.72646,             0.59924,             0.43702,            0.031089,             0.10895,             0.01261,           0.0099918,           0.0099918,           0.0099918
                  27,            0.037895,            0.078943,            0.011007,             0.39047,             0.82409,             0.48718,              0.3486,             0.03069,             0.10939,            0.011686,           0.0099914,           0.0099914,           0.0099914
                  28,             0.03709,            0.079512,            0.010744,             0.39866,             0.83313,             0.57551,             0.43385,            0.031245,             0.10913,            0.012173,           0.0099911,           0.0099911,           0.0099911
                  29,            0.036115,            0.080688,            0.010373,             0.42694,             0.86347,             0.60076,             0.42589,            0.029747,             0.11035,           0.0092698,           0.0099908,           0.0099908,           0.0099908
                  30,            0.035998,            0.079839,            0.010308,             0.45971,             0.74946,             0.49954,             0.34518,            0.032343,             0.10857,               0.011,           0.0099904,           0.0099904,           0.0099904
                  31,            0.036038,            0.079298,            0.010137,             0.38312,              0.8614,             0.55046,             0.42398,            0.029549,             0.10813,            0.011543,           0.0099901,           0.0099901,           0.0099901
                  32,            0.035473,            0.078512,           0.0099695,             0.35779,             0.85257,             0.52044,             0.36603,            0.030968,             0.11558,            0.012867,           0.0099898,           0.0099898,           0.0099898
                  33,            0.036313,            0.079873,           0.0097823,             0.40341,             0.82113,             0.54169,             0.44003,            0.029617,             0.11425,            0.010077,           0.0099894,           0.0099894,           0.0099894
                  34,            0.035323,            0.076265,           0.0095915,             0.43213,             0.84308,             0.52788,             0.38845,            0.030282,             0.11021,            0.009748,           0.0099891,           0.0099891,           0.0099891
                  35,            0.034836,            0.077765,            0.009578,              0.3794,              0.8646,             0.53904,             0.40833,            0.032221,             0.11737,            0.011656,           0.0099888,           0.0099888,           0.0099888
                  36,            0.035077,            0.075158,           0.0092353,             0.40398,             0.84035,             0.57712,             0.40296,            0.030878,             0.10629,            0.010307,           0.0099884,           0.0099884,           0.0099884
                  37,            0.034266,            0.073472,           0.0089267,             0.44698,               0.765,             0.49894,             0.39059,            0.028567,             0.10989,            0.010273,           0.0099881,           0.0099881,           0.0099881
                  38,            0.034505,            0.077229,            0.008824,             0.41322,               0.762,             0.52434,             0.39746,            0.031426,              0.1123,           0.0091999,           0.0099878,           0.0099878,           0.0099878
                  39,            0.034238,            0.075736,           0.0088253,             0.37269,             0.82866,             0.52042,              0.3844,            0.029022,             0.11466,            0.010583,           0.0099875,           0.0099875,           0.0099875
