               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03683,            0.078874,            0.011354,             0.93707,             0.87481,             0.96778,             0.74473,            0.026343,            0.090207,           0.0076767,           0.0099654,           0.0099654,           0.0099654
                  37,            0.035964,             0.08275,            0.011084,             0.92246,             0.95476,             0.96237,             0.77129,            0.026444,             0.09303,           0.0066657,           0.0099644,           0.0099644,           0.0099644
                  38,            0.035928,            0.077459,            0.010881,             0.91092,             0.94022,             0.95013,             0.73196,            0.028346,            0.093268,           0.0078374,           0.0099634,           0.0099634,           0.0099634
                  39,            0.035871,            0.079488,            0.010574,             0.92242,             0.94584,             0.96902,             0.79178,             0.02484,            0.085158,           0.0065252,           0.0099624,           0.0099624,           0.0099624
                  40,             0.03553,            0.075587,            0.010464,             0.90503,             0.93426,             0.97047,             0.78893,            0.025252,            0.090573,           0.0065821,           0.0099614,           0.0099614,           0.0099614
                  41,             0.03593,            0.078804,            0.010403,             0.93788,             0.89102,             0.95143,             0.76781,            0.025063,            0.089208,           0.0067623,           0.0099604,           0.0099604,           0.0099604
                  42,             0.03524,             0.07695,            0.010118,             0.93588,             0.92533,              0.9628,             0.79229,            0.025189,            0.087863,           0.0068216,           0.0099594,           0.0099594,           0.0099594
                  43,            0.035468,            0.076916,             0.01003,             0.94654,             0.93147,              0.9645,             0.78574,            0.024546,            0.088191,           0.0073963,           0.0099584,           0.0099584,           0.0099584
                  44,             0.03469,            0.076936,           0.0098336,             0.93374,             0.92067,             0.96483,             0.77957,            0.025677,            0.087965,           0.0065626,           0.0099574,           0.0099574,           0.0099574
                  45,            0.035461,            0.075802,            0.009906,             0.91702,             0.94393,             0.96592,             0.78981,            0.024374,             0.08619,           0.0065731,           0.0099564,           0.0099564,           0.0099564
                  46,            0.034524,            0.076892,           0.0098727,             0.95723,             0.92107,             0.97189,             0.78517,            0.024568,            0.081985,           0.0067293,           0.0099555,           0.0099555,           0.0099555
                  47,            0.034321,            0.076459,           0.0093269,             0.93758,             0.94651,             0.97187,             0.77869,            0.024408,            0.084279,           0.0059299,           0.0099545,           0.0099545,           0.0099545
                  48,            0.035352,            0.076791,           0.0095403,              0.9455,              0.9076,             0.96238,             0.77249,            0.024766,            0.086546,           0.0058884,           0.0099535,           0.0099535,           0.0099535
                  49,            0.034272,            0.076854,           0.0094155,             0.92038,             0.94761,             0.96136,             0.78325,            0.025546,            0.088693,            0.006844,           0.0099525,           0.0099525,           0.0099525
                  50,            0.033375,            0.072381,           0.0092756,             0.94651,             0.92423,             0.96719,             0.77147,            0.025637,            0.087684,           0.0059114,           0.0099515,           0.0099515,           0.0099515
                  51,            0.034509,            0.075036,           0.0093958,              0.9464,             0.91852,             0.96455,              0.7972,            0.023734,            0.086628,           0.0078521,           0.0099505,           0.0099505,           0.0099505
                  52,            0.034063,            0.074116,           0.0091839,             0.95627,             0.92139,             0.96264,             0.78942,            0.024953,            0.086559,            0.006026,           0.0099495,           0.0099495,           0.0099495
                  53,            0.033838,            0.074024,           0.0092755,             0.93572,             0.94148,             0.96157,             0.77963,             0.02466,            0.085578,           0.0058156,           0.0099485,           0.0099485,           0.0099485
                  54,            0.033678,            0.073277,           0.0090336,             0.93955,             0.93458,             0.96791,             0.80336,            0.023855,            0.083737,           0.0067414,           0.0099475,           0.0099475,           0.0099475
                  55,            0.033685,            0.073161,           0.0092416,             0.93813,             0.93744,             0.96929,             0.79003,            0.023892,            0.085538,           0.0058155,           0.0099465,           0.0099465,           0.0099465
                  56,            0.033942,            0.073179,           0.0089037,             0.94065,             0.94012,             0.96326,             0.78426,            0.024808,            0.086782,           0.0057799,           0.0099456,           0.0099456,           0.0099456
                  57,            0.034542,            0.075345,           0.0090464,             0.94067,             0.94221,             0.96289,             0.77779,            0.024342,            0.088784,           0.0060797,           0.0099446,           0.0099446,           0.0099446
                  58,            0.033176,            0.073398,           0.0087229,             0.95267,             0.94813,             0.96822,             0.79573,            0.023629,            0.083976,           0.0057532,           0.0099436,           0.0099436,           0.0099436
                  59,            0.033499,            0.072659,           0.0086594,             0.97431,             0.95126,             0.97591,             0.80387,            0.023916,            0.082814,           0.0050937,           0.0099426,           0.0099426,           0.0099426
                  60,            0.033656,            0.072852,           0.0087073,             0.96352,             0.91686,             0.96895,             0.80748,            0.023772,            0.085335,             0.00556,           0.0099416,           0.0099416,           0.0099416
                  61,             0.03343,            0.071527,           0.0086163,             0.94502,              0.9103,             0.95805,             0.78958,            0.024025,            0.085116,           0.0061792,           0.0099406,           0.0099406,           0.0099406
                  62,            0.033807,            0.074011,           0.0088109,             0.93124,             0.93759,             0.96873,             0.79654,            0.023696,            0.083015,           0.0055448,           0.0099396,           0.0099396,           0.0099396
                  63,            0.032833,            0.072758,           0.0085711,             0.93112,             0.93559,             0.96368,             0.77847,            0.023525,            0.083903,           0.0059615,           0.0099386,           0.0099386,           0.0099386
                  64,            0.032484,            0.071583,           0.0082851,             0.94968,             0.93829,             0.97048,             0.79696,            0.022958,            0.080914,           0.0054304,           0.0099376,           0.0099376,           0.0099376
                  65,            0.033351,            0.071554,           0.0084753,             0.94898,             0.94458,             0.97356,             0.80218,            0.023836,            0.085394,           0.0053014,           0.0099366,           0.0099366,           0.0099366
