               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.082846,            0.065443,            0.062067,             0.55204,            0.046086,            0.007938,           0.0019389,            0.098037,            0.061914,            0.056505,            0.007018,            0.007018,            0.036018
                  36,            0.089944,            0.049281,            0.061167,             0.55204,            0.046086,            0.007938,           0.0019389,            0.098037,            0.061914,            0.056505,           0.0072133,           0.0072133,            0.034213
                  37,            0.089526,            0.060986,            0.059367,             0.68079,            0.065543,            0.028066,              0.0068,            0.096789,            0.056544,            0.055619,           0.0074084,           0.0074084,            0.032408
                  38,            0.089585,            0.059331,            0.057891,             0.70631,            0.045926,            0.016992,           0.0033881,            0.086133,            0.059403,            0.055722,           0.0076034,           0.0076034,            0.030603
                  39,            0.080778,            0.055192,            0.058872,             0.70631,            0.045926,            0.016992,           0.0033881,            0.086133,            0.059403,            0.055722,           0.0077983,           0.0077983,            0.028798
                  40,            0.090996,            0.063025,            0.058136,              0.7532,             0.05377,            0.023302,           0.0070968,             0.11025,            0.053293,            0.055166,           0.0079931,           0.0079931,            0.026993
                  41,             0.10343,             0.05723,            0.059559,             0.76146,            0.087677,            0.038119,            0.010211,             0.09921,             0.05663,            0.054607,           0.0081877,           0.0081877,            0.025188
                  42,            0.087477,            0.070436,             0.05557,             0.76146,            0.087677,            0.038119,            0.010211,             0.09921,             0.05663,            0.054607,           0.0083822,           0.0083822,            0.023382
                  43,            0.089137,              0.0573,             0.05635,           0.0059018,            0.098701,           0.0057554,           0.0015862,             0.10194,            0.048591,             0.05413,           0.0085765,           0.0085765,            0.021577
                  44,            0.095276,            0.065108,            0.058456,           0.0059018,            0.098701,           0.0057554,           0.0015862,             0.10194,            0.048591,             0.05413,           0.0087708,           0.0087708,            0.019771
                  45,            0.097661,            0.050252,            0.055766,             0.63453,            0.067615,            0.048729,            0.014778,            0.077636,            0.063309,            0.053403,           0.0089649,           0.0089649,            0.017965
                  46,            0.082538,            0.069502,            0.056601,             0.63453,            0.067615,            0.048729,            0.014778,            0.077636,            0.063309,            0.053403,           0.0091588,           0.0091588,            0.016159
                  47,            0.083489,            0.085707,            0.053553,             0.75703,            0.079389,            0.060046,            0.020069,            0.094119,            0.051514,            0.052752,           0.0093527,           0.0093527,            0.014353
                  48,            0.089866,            0.057933,            0.053639,             0.75703,            0.079389,            0.060046,            0.020069,            0.094119,            0.051514,            0.052752,           0.0095464,           0.0095464,            0.012546
                  49,            0.089237,            0.061152,            0.051937,           0.0068897,             0.12976,           0.0088544,           0.0019635,              0.0955,            0.047969,            0.052717,           0.0097399,           0.0097399,             0.01074
                  50,            0.098185,            0.049637,            0.053238,           0.0068897,             0.12976,           0.0088544,           0.0019635,              0.0955,            0.047969,            0.052717,            0.009835,            0.009835,            0.009835
                  51,             0.10023,            0.042174,            0.053108,             0.53597,             0.10438,            0.038013,             0.01134,            0.084955,            0.061437,            0.052266,            0.009835,            0.009835,            0.009835
                  52,            0.080342,            0.062673,            0.055121,             0.53597,             0.10438,            0.038013,             0.01134,            0.084955,            0.061437,            0.052266,           0.0098317,           0.0098317,           0.0098317
                  53,            0.078979,            0.064613,            0.055983,             0.64726,            0.055765,            0.034734,           0.0094001,            0.087411,            0.049778,            0.051319,           0.0098284,           0.0098284,           0.0098284
                  54,            0.084169,            0.057026,            0.055655,             0.64726,            0.055765,            0.034734,           0.0094001,            0.087411,            0.049778,            0.051319,           0.0098251,           0.0098251,           0.0098251
                  55,            0.088681,            0.066408,            0.050113,             0.62193,            0.085274,            0.034011,            0.010644,            0.081714,            0.053866,            0.050689,           0.0098218,           0.0098218,           0.0098218
                  56,            0.078951,            0.056517,            0.053403,             0.62193,            0.085274,            0.034011,            0.010644,            0.081714,            0.053866,            0.050689,           0.0098185,           0.0098185,           0.0098185
                  57,            0.082411,            0.060903,            0.057097,             0.71013,            0.068374,            0.077031,            0.022548,            0.081369,            0.050553,            0.050059,           0.0098152,           0.0098152,           0.0098152
                  58,            0.077909,            0.051213,            0.051107,             0.71013,            0.068374,            0.077031,            0.022548,            0.081369,            0.050553,            0.050059,           0.0098119,           0.0098119,           0.0098119
                  59,            0.074766,            0.075815,            0.049009,             0.48996,            0.088689,            0.031664,           0.0096958,             0.08106,            0.051259,            0.049946,           0.0098086,           0.0098086,           0.0098086
                  60,            0.081037,            0.054021,            0.050103,             0.48996,            0.088689,            0.031664,           0.0096958,             0.08106,            0.051259,            0.049946,           0.0098053,           0.0098053,           0.0098053
                  61,            0.078772,             0.06385,            0.059672,             0.58926,             0.12304,             0.06535,             0.02121,            0.073325,            0.049146,            0.049639,            0.009802,            0.009802,            0.009802
                  62,            0.074277,            0.066933,            0.054295,             0.58926,             0.12304,             0.06535,             0.02121,            0.073325,            0.049146,            0.049639,           0.0097987,           0.0097987,           0.0097987
                  63,            0.074988,            0.054891,            0.051533,             0.67289,             0.11371,            0.065029,            0.016459,            0.083912,            0.048015,            0.049561,           0.0097954,           0.0097954,           0.0097954
                  64,            0.081609,            0.043129,            0.051117,             0.67289,             0.11371,            0.065029,            0.016459,            0.083912,            0.048015,            0.049561,           0.0097921,           0.0097921,           0.0097921
                  65,            0.082445,            0.057462,            0.052321,             0.61119,              0.1208,             0.03821,            0.010257,            0.083208,            0.045763,            0.048794,           0.0097888,           0.0097888,           0.0097888
                  66,            0.075544,            0.061674,            0.052161,             0.61119,              0.1208,             0.03821,            0.010257,            0.083208,            0.045763,            0.048794,           0.0097855,           0.0097855,           0.0097855
                  67,             0.08068,            0.058739,            0.054202,             0.65957,             0.11494,             0.07189,            0.026379,            0.068783,            0.051337,            0.048158,           0.0097822,           0.0097822,           0.0097822
                  68,            0.073762,            0.048882,            0.051045,             0.65957,             0.11494,             0.07189,            0.026379,            0.068783,            0.051337,            0.048158,           0.0097789,           0.0097789,           0.0097789
                  69,            0.074709,             0.05987,            0.047701,             0.72479,             0.11398,            0.048064,            0.014598,             0.07736,            0.051197,            0.047356,           0.0097756,           0.0097756,           0.0097756
                  70,            0.073797,            0.049791,             0.05329,             0.72479,             0.11398,            0.048064,            0.014598,             0.07736,            0.051197,            0.047356,           0.0097723,           0.0097723,           0.0097723
                  71,            0.071087,            0.049611,            0.051553,              0.6042,             0.14338,             0.09989,            0.026779,            0.071547,            0.046297,            0.046632,            0.009769,            0.009769,            0.009769
                  72,            0.071928,            0.052667,            0.052666,              0.6042,             0.14338,             0.09989,            0.026779,            0.071547,            0.046297,            0.046632,           0.0097657,           0.0097657,           0.0097657
                  73,            0.072136,            0.059786,            0.049498,              0.4496,             0.15777,            0.045966,            0.013224,            0.073614,            0.052553,            0.046307,           0.0097624,           0.0097624,           0.0097624
                  74,              0.0721,            0.055313,            0.047162,              0.4496,             0.15777,            0.045966,            0.013224,            0.073614,            0.052553,            0.046307,           0.0097591,           0.0097591,           0.0097591
                  75,            0.071662,            0.059669,            0.046032,             0.72198,             0.12783,            0.099537,            0.031838,            0.065378,            0.049524,             0.04535,           0.0097558,           0.0097558,           0.0097558
                  76,             0.06569,            0.056849,              0.0487,             0.72198,             0.12783,            0.099537,            0.031838,            0.065378,            0.049524,             0.04535,           0.0097525,           0.0097525,           0.0097525
                  77,            0.066968,            0.077492,            0.050245,             0.77423,             0.13439,             0.11276,            0.037255,            0.066427,            0.051785,            0.045582,           0.0097492,           0.0097492,           0.0097492
                  78,            0.060551,            0.056502,            0.048018,             0.77423,             0.13439,             0.11276,            0.037255,            0.066427,            0.051785,            0.045582,           0.0097459,           0.0097459,           0.0097459
                  79,            0.062427,            0.055204,            0.049491,             0.71477,            0.095724,            0.074907,            0.025295,            0.072025,            0.046907,             0.04484,           0.0097426,           0.0097426,           0.0097426
                  80,            0.073295,            0.042148,            0.046201,             0.71477,            0.095724,            0.074907,            0.025295,            0.072025,            0.046907,             0.04484,           0.0097393,           0.0097393,           0.0097393
                  81,            0.068921,            0.048455,            0.046805,             0.71889,             0.15896,             0.15144,            0.057649,            0.064026,            0.048891,            0.044171,            0.009736,            0.009736,            0.009736
                  82,            0.057306,            0.057305,            0.044258,             0.71889,             0.15896,             0.15144,            0.057649,            0.064026,            0.048891,            0.044171,           0.0097327,           0.0097327,           0.0097327
                  83,            0.065927,            0.050381,            0.047197,             0.75419,             0.14137,             0.12942,            0.051262,             0.06342,            0.051486,            0.044146,           0.0097294,           0.0097294,           0.0097294
                  84,            0.062576,            0.055238,            0.052094,             0.75419,             0.14137,             0.12942,            0.051262,             0.06342,            0.051486,            0.044146,           0.0097261,           0.0097261,           0.0097261
                  85,            0.058473,            0.053786,            0.045541,             0.48114,             0.23412,            0.094598,            0.037912,            0.065738,            0.048542,            0.043645,           0.0097228,           0.0097228,           0.0097228
                  86,            0.064296,            0.053344,            0.042912,             0.48114,             0.23412,            0.094598,            0.037912,            0.065738,            0.048542,            0.043645,           0.0097195,           0.0097195,           0.0097195
                  87,            0.066805,            0.055715,            0.045146,             0.67388,              0.1656,             0.14612,            0.065175,            0.066682,            0.050713,            0.043521,           0.0097162,           0.0097162,           0.0097162
                  88,            0.066008,            0.046264,             0.05176,             0.67388,              0.1656,             0.14612,            0.065175,            0.066682,            0.050713,            0.043521,           0.0097129,           0.0097129,           0.0097129
                  89,            0.061219,            0.051579,            0.045032,             0.50732,             0.18052,            0.075861,            0.024012,            0.069066,            0.043694,            0.043072,           0.0097096,           0.0097096,           0.0097096
                  90,              0.0683,            0.046497,            0.045756,             0.50732,             0.18052,            0.075861,            0.024012,            0.069066,            0.043694,            0.043072,           0.0097063,           0.0097063,           0.0097063
                  91,            0.067615,            0.036617,            0.045671,             0.68074,             0.16598,             0.14574,            0.042646,            0.064469,            0.044257,            0.042919,            0.009703,            0.009703,            0.009703
                  92,            0.062478,            0.052505,            0.049048,             0.68074,             0.16598,             0.14574,            0.042646,            0.064469,            0.044257,            0.042919,           0.0096997,           0.0096997,           0.0096997
                  93,            0.063995,            0.050266,            0.050423,             0.61374,             0.14579,             0.10576,            0.043209,            0.069577,            0.051193,            0.043238,           0.0096964,           0.0096964,           0.0096964
                  94,            0.064918,            0.045287,            0.046421,             0.61374,             0.14579,             0.10576,            0.043209,            0.069577,            0.051193,            0.043238,           0.0096931,           0.0096931,           0.0096931
                  95,            0.066273,            0.044411,             0.04971,             0.59784,             0.22441,             0.14833,            0.057696,            0.058953,            0.043949,            0.043016,           0.0096898,           0.0096898,           0.0096898
                  96,            0.055339,            0.058689,            0.043291,             0.59784,             0.22441,             0.14833,            0.057696,            0.058953,            0.043949,            0.043016,           0.0096865,           0.0096865,           0.0096865
                  97,            0.055543,            0.051725,            0.042498,             0.54572,             0.22509,            0.075972,            0.029066,             0.06868,            0.049548,            0.042446,           0.0096832,           0.0096832,           0.0096832
                  98,            0.069541,            0.051779,            0.049379,             0.54572,             0.22509,            0.075972,            0.029066,             0.06868,            0.049548,            0.042446,           0.0096799,           0.0096799,           0.0096799
                  99,            0.068704,            0.056203,             0.05005,             0.57481,             0.16841,             0.10886,            0.038521,            0.061402,            0.041942,             0.04289,           0.0096766,           0.0096766,           0.0096766
                 100,            0.069135,            0.052043,             0.04773,             0.57481,             0.16841,             0.10886,            0.038521,            0.061402,            0.041942,             0.04289,           0.0096733,           0.0096733,           0.0096733
                 101,            0.063867,            0.046986,            0.045048,             0.61653,             0.18277,             0.15972,            0.075095,             0.05588,            0.041916,            0.042804,             0.00967,             0.00967,             0.00967
                 102,             0.05793,            0.055257,             0.04496,             0.61653,             0.18277,             0.15972,            0.075095,             0.05588,            0.041916,            0.042804,           0.0096667,           0.0096667,           0.0096667
                 103,            0.059582,            0.050401,             0.04405,             0.65294,             0.18902,             0.13417,            0.055354,              0.0616,            0.048241,            0.042101,           0.0096634,           0.0096634,           0.0096634
                 104,            0.058722,            0.045757,            0.042358,             0.65294,             0.18902,             0.13417,            0.055354,              0.0616,            0.048241,            0.042101,           0.0096601,           0.0096601,           0.0096601
                 105,            0.062827,            0.053064,            0.045368,             0.53703,             0.21317,             0.12163,             0.04727,            0.058714,            0.043389,            0.041115,           0.0096568,           0.0096568,           0.0096568
                 106,            0.062317,            0.039555,            0.046108,             0.53703,             0.21317,             0.12163,             0.04727,            0.058714,            0.043389,            0.041115,           0.0096535,           0.0096535,           0.0096535
                 107,            0.065816,            0.065433,            0.042219,              0.6529,             0.18857,              0.1246,            0.050841,            0.056642,            0.041661,            0.040898,           0.0096502,           0.0096502,           0.0096502
                 108,            0.054033,             0.04479,             0.04347,              0.6529,             0.18857,              0.1246,            0.050841,            0.056642,            0.041661,            0.040898,           0.0096469,           0.0096469,           0.0096469
                 109,            0.057704,            0.051869,            0.044222,             0.56633,             0.18959,             0.12626,            0.038407,            0.062563,            0.045132,             0.04079,           0.0096436,           0.0096436,           0.0096436
                 110,            0.063801,            0.050316,            0.039091,             0.56633,             0.18959,             0.12626,            0.038407,            0.062563,            0.045132,             0.04079,           0.0096403,           0.0096403,           0.0096403
                 111,            0.063507,             0.04832,            0.045203,             0.72812,             0.15529,             0.18039,            0.070732,            0.055525,              0.0428,            0.040846,            0.009637,            0.009637,            0.009637
                 112,            0.049395,            0.052799,            0.041082,             0.72812,             0.15529,             0.18039,            0.070732,            0.055525,              0.0428,            0.040846,           0.0096337,           0.0096337,           0.0096337
                 113,            0.054454,            0.056054,            0.045574,             0.73511,             0.18337,             0.21209,            0.094349,             0.05018,            0.041916,            0.040805,           0.0096304,           0.0096304,           0.0096304
                 114,            0.052859,            0.046591,            0.045574,             0.73511,             0.18337,             0.21209,            0.094349,             0.05018,            0.041916,            0.040805,           0.0096271,           0.0096271,           0.0096271
                 115,            0.050411,             0.04201,            0.045169,              0.5469,             0.24096,             0.12769,            0.048487,            0.062416,            0.043072,            0.041984,           0.0096238,           0.0096238,           0.0096238
                 116,            0.060835,            0.047292,            0.043637,              0.5469,             0.24096,             0.12769,            0.048487,            0.062416,            0.043072,            0.041984,           0.0096205,           0.0096205,           0.0096205
                 117,             0.06203,            0.041373,            0.042208,              0.7201,             0.14538,             0.15095,            0.066018,            0.062111,            0.044436,            0.042927,           0.0096172,           0.0096172,           0.0096172
                 118,             0.05795,            0.042297,            0.044946,              0.7201,             0.14538,             0.15095,            0.066018,            0.062111,            0.044436,            0.042927,           0.0096139,           0.0096139,           0.0096139
                 119,            0.055111,            0.050542,            0.043713,             0.68232,             0.17626,             0.16573,            0.076361,            0.050625,            0.044726,            0.042688,           0.0096106,           0.0096106,           0.0096106
                 120,            0.047951,            0.042889,            0.044361,             0.68232,             0.17626,             0.16573,            0.076361,            0.050625,            0.044726,            0.042688,           0.0096073,           0.0096073,           0.0096073
                 121,            0.048525,             0.03788,            0.044498,             0.64302,             0.20223,             0.16708,            0.076769,            0.055639,            0.042466,            0.041965,            0.009604,            0.009604,            0.009604
                 122,             0.05536,            0.043493,            0.043168,             0.64302,             0.20223,             0.16708,            0.076769,            0.055639,            0.042466,            0.041965,           0.0096007,           0.0096007,           0.0096007
                 123,            0.055269,            0.043396,            0.044479,             0.60967,             0.20542,              0.1978,            0.085955,            0.056131,            0.041268,            0.041272,           0.0095974,           0.0095974,           0.0095974
                 124,            0.061833,             0.05084,            0.045308,             0.60967,             0.20542,              0.1978,            0.085955,            0.056131,            0.041268,            0.041272,           0.0095941,           0.0095941,           0.0095941
                 125,            0.059492,            0.041463,            0.042318,             0.62522,              0.1901,             0.16508,            0.057149,             0.05787,            0.043763,            0.042409,           0.0095908,           0.0095908,           0.0095908
                 126,            0.051369,            0.036978,            0.041339,             0.62522,              0.1901,             0.16508,            0.057149,             0.05787,            0.043763,            0.042409,           0.0095875,           0.0095875,           0.0095875
                 127,            0.053931,            0.039388,            0.044913,             0.62987,             0.19908,             0.20467,            0.085648,            0.053032,            0.040985,            0.041299,           0.0095842,           0.0095842,           0.0095842
                 128,            0.049412,            0.044017,              0.0462,             0.62987,             0.19908,             0.20467,            0.085648,            0.053032,            0.040985,            0.041299,           0.0095809,           0.0095809,           0.0095809
                 129,            0.054084,            0.037769,            0.039623,             0.57951,              0.2002,             0.18419,            0.076661,            0.052591,            0.041819,            0.040912,           0.0095776,           0.0095776,           0.0095776
